object_id,RA,Dec,Surprisal_Score,Status,Matched_Catalog,Match_Sep_arcsec,Confidence,Period_Guess_Hours,Phase_Sharpness,Period_False_Alarm_Prob,Num_Specular_Glints,Material_Inference,Orbital_Regime,Rate_deg_day,Rate_arcsec_sec
P_009,,,0.511,NO_ASTROMETRY,NONE,,LOW,0.58,0.942,0.9695,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_022,,,0.352,NO_ASTROMETRY,NONE,,LOW,0.28,0.961,0.9174,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_016,,,0.232,NO_ASTROMETRY,NONE,,LOW,2.33,0.903,0.9988,1,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_008,,,0.173,NO_ASTROMETRY,NONE,,LOW,1.58,0.915,0.9948,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_020,,,0.023,NO_ASTROMETRY,NONE,,LOW,0.29,0.935,0.9799,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_003,,,0.003,NO_ASTROMETRY,NONE,,LOW,0.26,0.94,0.973,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_032,,,-0.001,NO_ASTROMETRY,NONE,,LOW,0.57,0.91,0.9971,1,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_006,,,-0.003,NO_ASTROMETRY,NONE,,LOW,0.24,0.932,0.9826,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_029,,,-0.025,NO_ASTROMETRY,NONE,,LOW,8.88,0.933,0.9832,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_017,,,-0.059,NO_ASTROMETRY,NONE,,LOW,2.42,0.958,0.9334,1,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_011,,,-0.165,NO_ASTROMETRY,NONE,,LOW,0.33,0.875,1.0,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_027,,,-0.176,NO_ASTROMETRY,NONE,,LOW,0.78,0.932,0.9842,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_030,,,-0.181,NO_ASTROMETRY,NONE,,LOW,0.53,0.912,0.9962,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_034,,,-0.221,NO_ASTROMETRY,NONE,,LOW,0.2,0.991,0.7775,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_028,,,-0.309,NO_ASTROMETRY,NONE,,LOW,0.65,0.895,0.9994,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_012,,,-0.384,NO_ASTROMETRY,NONE,,LOW,0.3,0.963,0.9082,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_019,,,-0.441,NO_ASTROMETRY,NONE,,LOW,0.35,0.936,0.975,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_002,,,-0.467,NO_ASTROMETRY,NONE,,LOW,0.89,0.923,0.9922,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_018,,,-0.477,NO_ASTROMETRY,NONE,,LOW,0.24,0.975,0.8647,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_013,,,-0.579,NO_ASTROMETRY,NONE,,LOW,0.29,0.942,0.9691,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_014,,,-0.778,NO_ASTROMETRY,NONE,,LOW,0.32,0.933,0.9819,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_021,,,-0.792,NO_ASTROMETRY,NONE,,LOW,0.69,0.917,0.9956,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_000,,,-0.805,NO_ASTROMETRY,NONE,,LOW,0.38,0.919,0.9938,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_015,,,-1.112,NO_ASTROMETRY,NONE,,LOW,0.51,0.94,0.974,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_001,,,-1.117,NO_ASTROMETRY,NONE,,LOW,0.24,0.908,0.9981,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
