objid,mjd,magpsf,sigmapsf,fid
P_001,59042.93666050736,18.853538745308015,0.03,1
P_001,59044.42144039491,18.83228432952202,0.03,2
P_001,59045.34226551751,18.8933802708779,0.03,1
P_001,59046.937260991916,18.879670213759724,0.03,2
P_001,59050.584643108974,18.898724935379242,0.03,2
P_001,59054.16411029827,18.808306332413462,0.03,2
P_001,59054.46229303498,18.979205241143305,0.03,2
P_001,59054.511483379014,18.858460804602498,0.03,1
P_001,59056.27353359736,18.811610769904863,0.03,2
P_001,59056.72859798991,18.91953584475804,0.03,1
P_001,59057.7362230555,18.870853528824625,0.03,1
P_001,59062.426055123266,18.90483665961833,0.03,1
P_001,59065.912475359306,18.871613313798434,0.03,1
P_001,59066.02314149663,18.885606717305688,0.03,2
P_001,59067.339616316895,18.900882377516616,0.03,1
P_001,59068.247527580344,18.85126109113054,0.03,2
P_001,59068.47099061251,18.92253071512266,0.03,2
P_001,59070.44844211335,18.86509873037571,0.03,2
P_001,59071.249058503134,18.845109378121162,0.03,1
P_001,59072.54321367744,18.89244535642081,0.03,1
P_001,59075.71051934231,18.910845799254236,0.03,2
P_001,59076.229853357036,18.877139768248753,0.03,2
P_001,59076.41400696734,18.845467745975707,0.03,1
P_001,59077.51400163083,18.919583013645116,0.03,1
P_001,59081.45023137363,18.800577295723546,0.03,2
P_001,59084.68407688957,18.837050528527907,0.03,1
P_001,59087.44385721022,18.890569879856354,0.03,2
P_001,59087.722353159406,18.82054076541443,0.03,1
P_001,59088.93970110982,18.889993448542143,0.03,1
P_001,59089.912329409155,18.885850579428762,0.03,2
P_002,59000.24724328424,18.429732245577547,0.03,2
P_002,59003.32637282006,18.511285482120904,0.03,2
P_002,59004.187988186735,18.458266476096227,0.03,1
P_002,59004.650654520745,18.516503076823636,0.03,1
P_002,59004.69586318788,18.53306769739845,0.03,1
P_002,59005.028476852865,18.445985983977202,0.03,2
P_002,59005.25802046614,18.480224017602694,0.03,1
P_002,59005.87688394679,18.48473322290043,0.03,1
P_002,59006.156867198755,18.542268732469662,0.03,2
P_002,59007.19482550473,18.51831339614612,0.03,1
P_002,59011.41332735216,18.42182161437711,0.03,2
P_002,59012.40404982638,18.505665904613057,0.03,2
P_002,59015.694551225744,18.520039952046588,0.03,2
P_002,59016.00432052104,18.588975786374018,0.03,1
P_002,59017.70692596391,18.39882803673992,0.03,1
P_002,59019.025860304886,18.45596787658093,0.03,1
P_002,59019.18482087829,18.549454050981996,0.03,2
P_002,59021.91434408253,18.415031976647295,0.03,1
P_002,59022.501650593884,18.422812462381394,0.03,1
P_002,59024.04724260511,18.508639601346644,0.03,1
P_002,59024.46066181726,18.533705924621568,0.03,1
P_002,59025.00635708257,18.449351467208853,0.03,2
P_002,59025.48539509125,18.509791850192233,0.03,1
P_002,59027.331564765016,18.488633255049127,0.03,2
P_002,59032.92591762625,18.558722943278568,0.03,1
P_002,59033.866757013624,18.482709569592192,0.03,2
P_002,59034.7028531507,18.532297857176033,0.03,2
P_002,59035.93619121379,18.437629598611917,0.03,2
P_002,59038.20172261689,18.473541549104528,0.03,1
P_002,59041.22716044375,18.47795026888954,0.03,1
P_002,59043.11301638584,18.53974088895189,0.03,1
P_002,59043.66835661744,18.511766143553654,0.03,1
P_002,59044.460517979576,18.44519783501295,0.03,1
P_002,59044.861362436066,18.516883879761625,0.03,1
P_002,59044.90878070763,18.52131705539901,0.03,1
P_002,59046.36397732306,18.477203205461656,0.03,1
P_002,59046.99980251557,18.469902375826038,0.03,2
P_002,59048.70269479738,18.473095329306503,0.03,2
P_002,59050.16679920818,18.398035871278186,0.03,2
P_002,59050.444679927816,18.49222264198386,0.03,2
P_002,59051.81346443052,18.494514388038994,0.03,2
P_002,59051.872226119696,18.43950906538968,0.03,1
P_002,59052.6469623571,18.519907804071384,0.03,1
P_002,59055.82885000895,18.414137144786448,0.03,2
P_002,59056.07844116497,18.455194850507983,0.03,1
P_002,59056.42531987153,18.45902453812805,0.03,2
P_002,59057.60095024859,18.582160983177076,0.03,2
P_002,59058.39656786108,18.402826288414737,0.03,1
P_002,59067.13535421587,18.510917004337944,0.03,2
P_002,59070.07223313151,18.529891655457078,0.03,2
P_002,59072.49037558678,18.501671769779623,0.03,2
P_002,59072.57140412357,18.5418758887953,0.03,2
P_002,59074.20339295567,18.43264860722131,0.03,2
P_002,59074.81259977718,18.36877256146202,0.03,1
P_002,59074.97852919277,18.521126386026143,0.03,1
P_002,59075.372427961855,18.422994083344076,0.03,1
P_002,59082.14149607472,18.466465497750335,0.03,1
P_002,59085.230555186215,18.423843191706393,0.03,2
P_002,59086.99961558491,18.535402584425107,0.03,1
P_002,59088.5374936346,18.526043003321,0.03,1
P_003,59000.185115875815,16.993799481244277,0.03,2
P_003,59001.78728958433,16.98974216822213,0.03,1
P_003,59001.81538442539,16.973350181148472,0.03,2
P_003,59002.30103890662,16.89498771526322,0.03,2
P_003,59007.56042909991,16.929761341696675,0.03,1
P_003,59007.846941688986,17.04402240909777,0.03,1
P_003,59008.78704195184,16.895828940626934,0.03,2
P_003,59012.19689033666,16.918783912577645,0.03,2
P_003,59014.605860096206,16.952254334457045,0.03,1
P_003,59014.849453515366,17.000816164197936,0.03,1
P_003,59015.11833238622,16.97294862012631,0.03,2
P_003,59018.67298659667,16.997468868560833,0.03,2
P_003,59022.9691194449,16.907001948947467,0.03,2
P_003,59023.76255809919,17.007605490291866,0.03,1
P_003,59023.84208930232,16.988818101425007,0.03,1
P_003,59024.409228402794,16.880638432839884,0.03,2
P_003,59025.90293779071,17.03736247099143,0.03,2
P_003,59025.9878849986,17.074986553604827,0.03,2
P_003,59027.98715787619,16.92193779273873,0.03,1
P_003,59028.12653142309,16.9631493014269,0.03,2
P_003,59028.13849324892,17.030237789751443,0.03,1
P_003,59029.41468890468,16.886304649124707,0.03,2
P_003,59032.31538462587,16.860873644642577,0.03,2
P_003,59032.50668119692,16.89551945448607,0.03,2
P_003,59032.673898637535,16.932013321278262,0.03,2
P_003,59033.33978916345,16.931444549996822,0.03,2
P_003,59033.87654786401,16.990734019288194,0.03,1
P_003,59035.501987648204,16.973793479194217,0.03,2
P_003,59037.732825744184,16.898062797362613,0.03,1
P_003,59037.94432016483,16.98873565910051,0.03,1
P_003,59041.07528751414,17.054070727680127,0.03,1
P_003,59047.880996469605,17.02021937454958,0.03,2
P_003,59049.8352181371,17.009922032980242,0.03,1
P_003,59050.54709603771,16.961375557022134,0.03,1
P_003,59056.40180526606,17.009548230328292,0.03,2
P_003,59060.78116425482,16.912060019597586,0.03,1
P_003,59063.84726323285,16.99791739244622,0.03,1
P_003,59064.27502620815,16.956004239622008,0.03,1
P_003,59064.53192305875,17.016911945490037,0.03,2
P_003,59064.8190600794,16.983667188158957,0.03,2
P_003,59065.08860414909,16.905872671310448,0.03,2
P_003,59067.149080720876,16.96676630826974,0.03,1
P_003,59067.45147436089,17.021277734086656,0.03,1
P_003,59068.14856937768,16.903904966342726,0.03,2
P_003,59068.64894506218,16.932409666686834,0.03,2
P_003,59070.00357546239,16.92193301017668,0.03,1
P_003,59070.26517662601,16.885584363573777,0.03,1
P_003,59071.2620071681,17.008430074359552,0.03,1
P_003,59072.25973046392,17.025916525745366,0.03,1
P_003,59072.470349614785,17.000368820948918,0.03,1
P_003,59078.613224600726,16.97249517636793,0.03,1
P_003,59079.43757251308,16.95776509138034,0.03,1
P_003,59079.94066771671,16.972335675622297,0.03,2
P_003,59080.25168635702,16.92378886474151,0.03,1
P_003,59081.35067542287,17.00505894061865,0.03,2
P_003,59081.525073788725,17.012641276797986,0.03,2
P_003,59083.3367750681,17.00699383729626,0.03,1
P_003,59083.66474061846,16.933819249710126,0.03,2
P_003,59086.660609231476,16.964286877693407,0.03,2
P_003,59086.78031021833,16.9520776196471,0.03,1
P_004,59000.33564260577,18.25592004745804,0.03,2
P_004,59003.385364907335,18.303756872439063,0.03,1
P_004,59007.44894014667,18.37840407016413,0.03,1
P_004,59008.81285050315,18.218816816415405,0.03,1
P_004,59009.21971802421,18.31551682987296,0.03,2
P_004,59009.97386961917,18.22147984575355,0.03,2
P_004,59010.53021502076,18.336699644024073,0.03,2
P_004,59014.25761896768,18.29017279394976,0.03,2
P_004,59014.59932873269,18.223262880090545,0.03,1
P_004,59014.638622847364,18.332582372991848,0.03,1
P_004,59017.961870163985,18.418417531172796,0.03,2
P_004,59018.084853847344,18.332991840162784,0.03,2
P_004,59019.10727955757,18.385636837684295,0.03,2
P_004,59019.57392510106,18.323972043386732,0.03,2
P_004,59019.700535368516,18.21966772208707,0.03,1
P_004,59021.11803088621,18.35207143802638,0.03,1
P_004,59022.649865982334,18.306633298154566,0.03,2
P_004,59025.69824577831,18.254443017111534,0.03,1
P_004,59026.69430606298,18.366789097191333,0.03,1
P_004,59031.284375782,18.34189014176787,0.03,1
P_004,59033.09521605727,18.30127678145927,0.03,2
P_004,59033.16972672797,18.37095073476528,0.03,1
P_004,59033.45768493296,18.283943665105525,0.03,1
P_004,59038.93711046405,18.359718880432183,0.03,1
P_004,59039.260872556944,18.28052424003301,0.03,2
P_004,59040.03777858285,18.35424500158048,0.03,2
P_004,59042.81237486772,18.27250986626771,0.03,2
P_004,59044.75107357915,18.402006673646234,0.03,2
P_004,59045.207025727665,18.34026263849597,0.03,1
P_004,59046.19137995618,18.399191019294832,0.03,2
P_004,59047.15310553872,18.286424964619183,0.03,2
P_004,59047.20487148275,18.3037421448468,0.03,1
P_004,59047.6946551832,18.36953050342092,0.03,2
P_004,59050.623069884015,18.19036140607971,0.03,2
P_004,59052.15532237255,18.274207720762814,0.03,2
P_004,59052.23784712902,18.379206111109262,0.03,2
P_004,59053.08374240778,18.350802729689896,0.03,1
P_004,59053.95210864033,18.376485730616068,0.03,1
P_004,59054.835503890536,18.31205921914094,0.03,2
P_004,59056.85763852254,18.355747232575332,0.03,2
P_004,59058.47595881869,18.291005049984335,0.03,2
P_004,59064.05633160368,18.258949245114056,0.03,2
P_004,59068.39733763978,18.242807514809346,0.03,2
P_004,59071.19070715882,18.299961784943655,0.03,1
P_004,59071.922212190526,18.30010019237395,0.03,1
P_004,59072.632444422234,18.296078393615343,0.03,2
P_004,59073.27066712152,18.15010701494528,0.03,1
P_004,59073.77229645142,18.22761708349335,0.03,2
P_004,59073.98136742903,18.300915639035505,0.03,1
P_004,59075.276499929365,18.341898094875056,0.03,2
P_004,59076.460984825964,18.298607632242824,0.03,2
P_004,59077.040747415005,18.28370240347764,0.03,2
P_004,59077.54213960045,18.212123596837596,0.03,1
P_004,59080.20145586358,18.428622215443973,0.03,1
P_004,59081.526498772844,18.27249169952183,0.03,1
P_004,59082.95091731423,18.41171709538013,0.03,2
P_004,59083.95833295089,18.405581559344853,0.03,1
P_004,59084.155194509425,18.341243716790224,0.03,2
P_004,59088.03000689304,18.298916793242043,0.03,1
P_004,59089.870300158655,18.33415804005429,0.03,1
P_005,59000.658232508365,16.234283635765784,0.03,1
P_005,59000.87404714713,16.36730540139363,0.03,1
P_005,59000.8806391365,16.34031691474259,0.03,1
P_005,59002.13712142802,16.32801926170461,0.03,2
P_005,59004.8098462835,16.270430941528776,0.03,2
P_005,59005.6246185859,16.3498825394936,0.03,2
P_005,59006.41103305513,16.409410553326694,0.03,2
P_005,59006.95914338442,16.259251875251536,0.03,2
P_005,59009.80869969229,16.321207130619108,0.03,2
P_005,59013.21812488451,16.29870610063181,0.03,1
P_005,59014.05806541223,16.33849587878947,0.03,2
P_005,59017.14304896549,16.32114402637525,0.03,1
P_005,59018.96350080202,16.313084289292426,0.03,2
P_005,59021.32308503528,16.276324519712126,0.03,2
P_005,59023.78489135295,16.31963602434064,0.03,2
P_005,59023.89098883669,16.28970072907727,0.03,2
P_005,59025.542215876914,16.31309545809492,0.03,2
P_005,59027.68056472628,16.317239598182883,0.03,2
P_005,59029.42953751725,16.353130063032566,0.03,2
P_005,59031.26756623437,16.291299420472033,0.03,2
P_005,59034.81658806141,16.304244276878126,0.03,1
P_005,59035.71379690039,16.37401363213855,0.03,2
P_005,59036.08954822582,16.309498927269008,0.03,2
P_005,59038.21907432453,16.307317076024887,0.03,1
P_005,59039.19450045681,16.36362879442038,0.03,2
P_005,59040.51944427613,16.334041596295407,0.03,2
P_005,59041.618232486966,16.324977418244043,0.03,2
P_005,59042.57800173612,16.33142506130837,0.03,2
P_005,59043.75459935126,16.258464271756356,0.03,2
P_005,59045.248443687335,16.343525469499525,0.03,2
P_005,59053.02563965635,16.386805185410175,0.03,2
P_005,59057.817758622135,16.34961110927041,0.03,2
P_005,59060.71136773549,16.242806434008727,0.03,2
P_005,59064.7209539226,16.33487830193301,0.03,1
P_005,59066.75054087969,16.275479041128712,0.03,2
P_005,59069.361631908476,16.30944830578188,0.03,2
P_005,59071.22093195148,16.327310773054545,0.03,1
P_005,59072.10018007367,16.261263760914016,0.03,1
P_005,59072.13901435744,16.387720559058394,0.03,2
P_005,59072.32675698832,16.317532204118145,0.03,1
P_005,59073.874208269015,16.36063560654702,0.03,2
P_005,59075.36927938931,16.352789279982037,0.03,1
P_005,59075.39728780434,16.38828312061545,0.03,1
P_005,59075.50016112482,16.380703705764,0.03,2
P_005,59077.22097324391,16.24745727753575,0.03,2
P_005,59079.919882433234,16.323355832198217,0.03,1
P_005,59080.289617964234,16.214495011217874,0.03,2
P_005,59081.429770482224,16.298926437967584,0.03,2
P_005,59082.19261760097,16.357036421354685,0.03,1
P_005,59083.18675926558,16.367030119690025,0.03,1
P_005,59083.806062961994,16.385806584960715,0.03,1
P_005,59084.017295453246,16.30252640456751,0.03,1
P_005,59085.13376907984,16.337413491105888,0.03,2
P_005,59085.656221803474,16.32629896859159,0.03,2
P_005,59086.35959939842,16.38479962763879,0.03,2
P_005,59086.938164047584,16.400880286584353,0.03,2
P_005,59087.41106718208,16.303538622116015,0.03,2
P_005,59087.47133632048,16.510697035413312,0.03,2
P_005,59087.554916946014,16.321313250341024,0.03,2
P_005,59087.61132953107,16.30317086538528,0.03,2
P_006,59004.19801965436,18.973651924716165,0.03,2
P_006,59004.934405480955,18.93237847672835,0.03,1
P_006,59008.84546441862,18.99014122821252,0.03,2
P_006,59010.70691241225,18.99576302304624,0.03,1
P_006,59011.71256191136,18.958289898363528,0.03,1
P_006,59012.35704149682,19.049881472915477,0.03,1
P_006,59018.726573482,18.907145470719495,0.03,2
P_006,59019.315342638365,19.002475034426762,0.03,2
P_006,59019.43850932824,18.932292817624408,0.03,2
P_006,59020.33191451224,18.916898802091513,0.03,2
P_006,59020.464584532434,18.98536288129332,0.03,1
P_006,59021.447534491825,18.92514142932947,0.03,1
P_006,59022.81317143747,18.998886566882877,0.03,1
P_006,59025.65944851108,18.89760743343616,0.03,2
P_006,59026.06784109178,18.957701314499865,0.03,1
P_006,59027.47809742944,18.913775621681896,0.03,1
P_006,59028.676171534884,18.94419821481626,0.03,1
P_006,59029.22797223923,18.93735155071457,0.03,2
P_006,59030.058945411074,18.8995236487419,0.03,2
P_006,59031.33888522324,18.98873610111216,0.03,1
P_006,59032.2490931485,18.89370994073703,0.03,1
P_006,59032.844525185246,18.906967639449274,0.03,2
P_006,59033.255716738655,19.000559676230182,0.03,1
P_006,59034.84598016665,19.00465913534746,0.03,2
P_006,59040.90608778097,18.98939438156411,0.03,2
P_006,59041.110587828305,18.973024147345853,0.03,2
P_006,59041.62917001307,19.069935744477434,0.03,2
P_006,59041.67738346989,18.89555184717398,0.03,1
P_006,59043.03868697458,18.918872708730078,0.03,2
P_006,59043.26889338174,18.90635824509575,0.03,1
P_006,59046.06423468055,19.00099505941951,0.03,1
P_006,59046.519305836926,18.97047261514328,0.03,1
P_006,59047.4480582638,19.011621414430653,0.03,2
P_006,59050.839807634824,19.00471023440973,0.03,2
P_006,59051.89214156674,18.94484086990808,0.03,2
P_006,59053.557962728606,18.915152284373207,0.03,2
P_006,59054.091606447786,18.906499619531814,0.03,1
P_006,59055.47075330638,19.06670580337839,0.03,2
P_006,59056.53288602245,19.00451328514746,0.03,1
P_006,59057.46576342493,18.985798718256586,0.03,1
P_006,59059.12455907992,18.93920559569606,0.03,2
P_006,59060.074716656476,18.94625220925899,0.03,2
P_006,59067.68478625097,18.938967511008908,0.03,2
P_006,59068.17369955548,18.939982876369175,0.03,2
P_006,59069.73817203201,18.835997149366996,0.03,2
P_006,59070.78367560349,18.953112146965506,0.03,2
P_006,59070.872331495215,18.937065434460365,0.03,1
P_006,59072.96925777127,18.970669933960426,0.03,1
P_006,59074.25766863833,18.966664095955547,0.03,2
P_006,59074.51711450812,18.998858017463345,0.03,1
P_006,59075.66984199322,18.95553965377544,0.03,1
P_006,59079.28606256505,18.996043707410916,0.03,2
P_006,59079.68630422299,18.828149966722634,0.03,1
P_006,59082.8796727909,18.901138263568352,0.03,1
P_006,59085.57795617341,19.0424942576502,0.03,1
P_006,59085.827000560545,18.895246172911172,0.03,2
P_006,59085.903670581894,18.94225687934581,0.03,2
P_006,59088.83850282311,18.9915522945518,0.03,2
P_006,59089.11067264607,18.912086137726472,0.03,1
P_006,59089.92793864506,18.992340842556608,0.03,2
P_007,59003.05188647721,16.582376187982483,0.03,1
P_007,59003.681497775964,16.602484059779925,0.03,1
P_007,59004.170608421155,16.63704438512757,0.03,2
P_007,59009.68955261861,16.589543799529412,0.03,1
P_007,59010.794237175185,16.676431793956887,0.03,2
P_007,59011.85897129083,16.55521601541061,0.03,2
P_007,59014.62470067428,16.664927648028502,0.03,1
P_007,59016.73974267757,16.557710852856264,0.03,2
P_007,59018.368903775285,16.592448606313006,0.03,1
P_007,59020.41008345267,16.618804239680177,0.03,1
P_007,59020.635948272175,16.703343923474783,0.03,2
P_007,59020.68360405536,16.645393237744454,0.03,2
P_007,59020.85862144778,16.58030878793395,0.03,1
P_007,59021.044908108684,16.665557886191383,0.03,2
P_007,59023.19600270346,16.589916685167115,0.03,1
P_007,59023.76749490782,16.561029637596818,0.03,2
P_007,59025.09341698962,16.623036165001132,0.03,1
P_007,59025.17608737436,16.605325472813462,0.03,2
P_007,59027.15149294662,16.64828524877496,0.03,2
P_007,59027.241842481,16.573115012204433,0.03,1
P_007,59030.26946978345,16.619677105294844,0.03,1
P_007,59033.459936644525,16.632329397053535,0.03,1
P_007,59033.620240105556,16.61450420838933,0.03,1
P_007,59038.13122350434,16.599152753807232,0.03,2
P_007,59038.79605057331,16.565721011707247,0.03,2
P_007,59038.89061140475,16.64578951997957,0.03,2
P_007,59041.51261616791,16.60746315542742,0.03,2
P_007,59043.33670964599,16.625417129037242,0.03,2
P_007,59043.6627705625,16.58306301836877,0.03,1
P_007,59048.97975612787,16.601252514948907,0.03,1
P_007,59049.919824000186,16.548740530826564,0.03,2
P_007,59050.191441119474,16.604878195168588,0.03,1
P_007,59051.09965851859,16.638862446594516,0.03,1
P_007,59052.18046051057,16.60525159471579,0.03,1
P_007,59054.317396916376,16.64357157093771,0.03,2
P_007,59054.878014546724,16.616247454517932,0.03,2
P_007,59057.22178306371,16.668794761912764,0.03,1
P_007,59059.0336234007,16.591099448804158,0.03,1
P_007,59061.58734113419,16.518670419084152,0.03,2
P_007,59061.810290226465,16.622226341866078,0.03,2
P_007,59062.651505687645,16.59234245601792,0.03,1
P_007,59063.9862990761,16.551887261297665,0.03,2
P_007,59066.27672382344,16.633165198307935,0.03,1
P_007,59067.167815005254,16.61381838737453,0.03,2
P_007,59067.52140080619,16.62286886050853,0.03,2
P_007,59068.97006072027,16.583983132872465,0.03,2
P_007,59071.15676536663,16.610454288624187,0.03,1
P_007,59071.90480069137,16.61331888261957,0.03,1
P_007,59072.789930614636,16.689334685738885,0.03,1
P_007,59073.51513810708,16.566403942188863,0.03,1
P_007,59074.33850849093,16.600077220433928,0.03,1
P_007,59076.93495809429,16.61879492102528,0.03,2
P_007,59079.64138103906,16.51436258410703,0.03,1
P_007,59081.36438103412,16.52045351204039,0.03,1
P_007,59083.2969955927,16.708892848953187,0.03,2
P_007,59085.76998013802,16.512245982728714,0.03,1
P_007,59086.061367903654,16.629348387644562,0.03,2
P_007,59086.317373348444,16.55819066010857,0.03,1
P_007,59088.234624006705,16.56244392527424,0.03,2
P_007,59089.981202924275,16.50147568519818,0.03,2
P_008,59001.43007568524,17.34328587178108,0.03,1
P_008,59001.77401179687,17.27752334874261,0.03,2
P_008,59001.823713266356,17.33999805622053,0.03,2
P_008,59002.361988866134,17.374511588227225,0.03,2
P_008,59002.38968213851,17.294990851942522,0.03,1
P_008,59002.56557727953,17.326886882332097,0.03,2
P_008,59006.6070500224,17.41656221560388,0.03,1
P_008,59007.9194832564,17.347485175380623,0.03,1
P_008,59009.64773207347,17.40483208480251,0.03,1
P_008,59012.61003816724,17.389408745960647,0.03,2
P_008,59013.598131779254,17.350406410741,0.03,2
P_008,59013.62475542088,17.307143705193756,0.03,2
P_008,59014.6605770619,17.270638716603166,0.03,2
P_008,59017.96000735644,17.257153493788824,0.03,1
P_008,59018.0369765674,17.337054839999006,0.03,1
P_008,59020.51591523593,17.336147562098684,0.03,1
P_008,59024.18199727283,17.30400728286331,0.03,1
P_008,59026.68579819086,17.355161712319273,0.03,1
P_008,59028.20180117903,17.282511537547787,0.03,2
P_008,59028.97161920817,17.368249346670503,0.03,2
P_008,59029.67643962025,17.31473874650425,0.03,2
P_008,59030.382496564256,17.310922064475914,0.03,2
P_008,59030.802630859136,17.312724728415972,0.03,2
P_008,59034.4789479629,17.307808829425717,0.03,2
P_008,59038.32789470197,17.43715160768138,0.03,1
P_008,59042.15427825526,17.232162401807564,0.03,2
P_008,59042.28696429873,17.321599520454033,0.03,2
P_008,59042.500282722234,17.374943702731898,0.03,2
P_008,59044.08233198507,17.34861404589357,0.03,2
P_008,59044.85109414758,17.29763429467958,0.03,1
P_008,59046.66689457282,17.399744444475786,0.03,2
P_008,59046.90180866117,17.25931375037666,0.03,2
P_008,59048.08330115513,17.247423586779032,0.03,2
P_008,59048.80008616498,17.341141921411563,0.03,1
P_008,59049.811031952726,17.240014903203292,0.03,1
P_008,59050.126792592084,17.193840905616614,0.03,2
P_008,59050.92987296554,17.356882725151344,0.03,1
P_008,59052.49606082227,17.350805908895964,0.03,1
P_008,59057.40371105057,17.349352736412115,0.03,2
P_008,59057.519979112716,17.288364836030738,0.03,1
P_008,59057.91755211737,17.32188569964941,0.03,1
P_008,59060.01576339846,17.26447206435282,0.03,2
P_008,59061.438307111,17.399455953595577,0.03,1
P_008,59062.00071422748,17.352289605840166,0.03,2
P_008,59063.2194033531,17.349851196883456,0.03,2
P_008,59070.76755018459,17.215239156219614,0.03,2
P_008,59070.85321441902,17.35310349546444,0.03,1
P_008,59071.04826827137,17.387436994364013,0.03,1
P_008,59074.439842354936,17.37355149754731,0.03,1
P_008,59075.64484458368,17.35219491005477,0.03,1
P_008,59076.86468504454,17.31269053481346,0.03,1
P_008,59077.96173468661,17.29564675090219,0.03,1
P_008,59078.09792020019,17.34282047754589,0.03,2
P_008,59078.60412216323,17.331876861054813,0.03,1
P_008,59081.01135302281,17.324557119784235,0.03,1
P_008,59081.01192410494,17.297277155925492,0.03,1
P_008,59083.21747987381,17.396801219661214,0.03,1
